Menu Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g)
Nacho Fries,320.0,18.0,1.5,0.0,0.0,800.0,35.0,4.0,0.0,0.0,5.0
Black Bean Chalupa Supreme® - Online Exclusive,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,4.0,0.0,10.0
Quesarito - Online Exclusive,650.0,33.0,13.0,0.5,50.0,1420.0,67.0,5.0,4.0,2.0,21.0
Nacho Cheese Doritos® Locos Taco,170.0,9.0,3.5,0.0,25.0,350.0,13.0,3.0,0.0,0.0,8.0
Soft Taco - Beef,180.0,9.0,4.0,0.0,25.0,500.0,18.0,3.0,1.0,0.0,9.0
Nacho Cheese Doritos® Locos Taco Supreme®,190.0,11.0,4.5,0.0,25.0,360.0,15.0,3.0,2.0,0.0,8.0
Soft Taco Supreme® - Beef,210.0,10.0,5.0,0.0,25.0,510.0,20.0,3.0,2.0,0.0,9.0
Chalupa Supreme® - Steak,350.0,18.0,4.5,0.0,30.0,590.0,30.0,3.0,4.0,2.0,15.0
Cheesy Gordita Crunch,500.0,28.0,10.0,0.0,50.0,840.0,41.0,5.0,5.0,1.0,20.0
Burrito Supreme® - Chicken,370.0,11.0,5.0,0.0,35.0,1150.0,49.0,7.0,4.0,2.0,19.0
Burrito Supreme® - Steak,380.0,12.0,6.0,0.0,30.0,1160.0,50.0,7.0,5.0,3.0,19.0
Beefy 5-Layer Burrito,490.0,18.0,7.0,0.0,25.0,1260.0,65.0,8.0,5.0,2.0,18.0
Quesarito - Steak,630.0,31.0,12.0,0.0,55.0,1440.0,65.0,4.0,5.0,3.0,24.0
Chips and Nacho Cheese Sauce (V),220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0
Nachos BellGrande® - Steak,720.0,36.0,5.0,0.0,25.0,1150.0,79.0,14.0,5.0,1.0,20.0
Quesadilla - Cheese (V),470.0,24.0,13.0,0.0,50.0,1000.0,41.0,3.0,3.0,2.0,18.0
Quesadilla - Steak,520.0,27.0,14.0,0.0,70.0,1270.0,42.0,3.0,4.0,2.0,26.0
Beef Quesarito,650.0,33.0,13.0,0.5,50.0,1420.0,67.0,5.0,4.0,2.0,21.0
Crunchy Taco - Specialties,170.0,10.0,3.5,0.0,25.0,300.0,13.0,3.0,0.0,0.0,8.0
Soft Taco - Specialties,180.0,9.0,4.0,0.0,25.0,500.0,18.0,3.0,1.0,0.0,9.0
Cheesy Fiesta Potatoes - Specialties,240.0,13.0,2.0,0.0,0.0,520.0,28.0,3.0,1.0,0.0,3.0
Chalupa Supreme® - Specialties,360.0,21.0,6.0,0.0,25.0,570.0,31.0,4.0,4.0,0.0,12.0
Power Menu Bowl - Specialties,460.0,21.0,6.0,0.0,70.0,1250.0,41.0,8.0,3.0,0.0,27.0
Cheesy Gordita Crunch - Specialties,500.0,28.0,10.0,0.0,50.0,840.0,41.0,5.0,5.0,1.0,20.0
Black Bean Crunchwrap Supreme® - Specialties,520.0,18.0,5.0,0.0,5.0,1100.0,77.0,7.0,6.0,2.0,13.0
Crunchwrap Supreme® - Specialties,540.0,21.0,7.0,0.0,20.0,1210.0,73.0,6.0,6.0,2.0,15.0
Quesarito - Specialties,650.0,33.0,13.0,0.5,50.0,1420.0,67.0,5.0,4.0,2.0,21.0
Mild Sauce Packet (V),0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Fire Sauce Packet (V),0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
Black Beans (V),50.0,1.5,0.0,0.0,0.0,140.0,7.0,3.0,0.0,0.0,3.0
Black Beans &amp; Rice (V),160.0,4.5,0.0,0.0,0.0,370.0,25.0,4.0,0.0,0.0,4.0
Cheesy Fiesta Potatoes (V),240.0,13.0,2.0,0.0,0.0,520.0,28.0,3.0,1.0,0.0,3.0
Cinnamon Twists - Value Menu,170.0,6.0,0.5,0.0,0.0,115.0,27.0,0.0,10.0,10.0,1.0
Chicken Chipotle Melt - Value Menu,190.0,9.0,3.0,0.0,35.0,530.0,16.0,1.0,0.0,0.0,12.0
Spicy Potato Soft Taco - Value Menu,240.0,12.0,3.0,0.0,10.0,480.0,28.0,2.0,1.0,0.0,5.0
Beef Burrito - Value Menu,430.0,19.0,6.0,0.0,20.0,990.0,49.0,4.0,3.0,2.0,12.0
Fiesta Veggie Burrito - Value Menu,570.0,28.0,8.0,0.0,25.0,1030.0,65.0,8.0,4.0,2.0,14.0
Black Beans,50.0,1.5,0.0,0.0,0.0,140.0,7.0,3.0,0.0,0.0,3.0
Black Beans &amp; Rice,160.0,4.5,0.0,0.0,0.0,370.0,25.0,4.0,0.0,0.0,4.0
Cinnamon Twists,170.0,6.0,0.5,0.0,0.0,115.0,27.0,0.0,10.0,10.0,1.0
Chips and Nacho Cheese Sauce,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0
Cheesy Fiesta Potatoes,240.0,13.0,2.0,0.0,0.0,520.0,28.0,3.0,1.0,0.0,3.0
